symbol,name,year,pair_id,buy_date,sell_date,buy_price,sell_price
ADBE,Adobe Inc.,2020,4,2020-04-05,2020-09-30,114.89,151.62
ADBE,Adobe Inc.,2020,5,2020-03-09,2020-11-10,24.97,30.54
ADBE,Adobe Inc.,2021,1,2021-03-28,2021-09-26,56.94,61.9
ADBE,Adobe Inc.,2021,2,2021-06-07,2021-09-26,73.2,104.02
ADBE,Adobe Inc.,2021,3,2021-04-26,2021-11-13,248.59,319.89
ADBE,Adobe Inc.,2021,4,2021-06-11,2021-11-10,120.01,172.14
ADBE,Adobe Inc.,2021,5,2021-05-16,2021-08-31,227.61,337.26
ADBE,Adobe Inc.,2022,1,2022-02-08,2022-12-12,38.88,41.99
ADBE,Adobe Inc.,2022,2,2022-02-27,2022-12-31,64.89,91.38
ADBE,Adobe Inc.,2022,3,2022-03-01,2022-11-15,161.35,165.75
ADBE,Adobe Inc.,2022,4,2022-05-13,2022-08-03,208.11,251.63
ADBE,Adobe Inc.,2022,5,2022-06-01,2022-08-26,75.36,83.58
ADBE,Adobe Inc.,2023,1,2023-03-03,2023-12-28,46.19,59.61
ADBE,Adobe Inc.,2023,2,2023-04-08,2023-10-15,114.09,118.42
ADBE,Adobe Inc.,2023,3,2023-06-29,2023-07-05,266.63,388.47
ADBE,Adobe Inc.,2023,4,2023-05-25,2023-11-15,207.69,238.46
ADBE,Adobe Inc.,2023,5,2023-05-03,2023-12-24,242.67,285.68
ADBE,Adobe Inc.,2024,1,2024-05-21,2024-10-03,55.34,67.33
ADBE,Adobe Inc.,2024,2,2024-01-06,2024-08-14,144.32,180.22
ADBE,Adobe Inc.,2024,3,2024-06-15,2024-10-25,163.6,239.47
ADBE,Adobe Inc.,2024,4,2024-02-12,2024-10-16,231.83,302.03
ADBE,Adobe Inc.,2024,5,2024-06-17,2024-10-02,192.23,275.37
AMD,Advanced Micro Devices Inc.,2020,1,2020-04-21,2020-08-05,183.03,220.29
AMD,Advanced Micro Devices Inc.,2020,2,2020-02-18,2020-07-02,226.85,300.34
AMD,Advanced Micro Devices Inc.,2020,3,2020-06-29,2020-12-03,83.56,121.7
AMD,Advanced Micro Devices Inc.,2020,4,2020-02-10,2020-09-02,261.6,309.69
AMD,Advanced Micro Devices Inc.,2020,5,2020-02-22,2020-12-20,131.25,194.54
AMD,Advanced Micro Devices Inc.,2021,1,2021-06-27,2021-08-16,181.31,200.14
AMD,Advanced Micro Devices Inc.,2021,2,2021-02-27,2021-09-30,222.79,289.6
AMD,Advanced Micro Devices Inc.,2021,3,2021-01-10,2021-08-17,142.48,168.7
AMD,Advanced Micro Devices Inc.,2021,4,2021-04-28,2021-12-31,25.16,25.89
AMD,Advanced Micro Devices Inc.,2021,5,2021-06-27,2021-07-15,37.55,51.2
AMD,Advanced Micro Devices Inc.,2022,1,2022-03-03,2022-08-18,88.96,91.72
AMD,Advanced Micro Devices Inc.,2022,2,2022-01-18,2022-11-07,153.56,197.37
AMD,Advanced Micro Devices Inc.,2022,3,2022-06-27,2022-08-12,287.01,394.96
AMD,Advanced Micro Devices Inc.,2022,4,2022-05-29,2022-12-19,86.6,105.91
AMD,Advanced Micro Devices Inc.,2022,5,2022-04-29,2022-07-17,227.88,325.12
AMD,Advanced Micro Devices Inc.,2023,1,2023-03-01,2023-11-20,89.74,102.1
AMD,Advanced Micro Devices Inc.,2023,2,2023-01-22,2023-09-07,194.73,207.5
AMD,Advanced Micro Devices Inc.,2023,3,2023-03-02,2023-07-02,91.99,134.34
AMD,Advanced Micro Devices Inc.,2023,4,2023-01-30,2023-08-31,276.75,284.16
AMD,Advanced Micro Devices Inc.,2023,5,2023-01-17,2023-12-27,218.37,231.0
AMD,Advanced Micro Devices Inc.,2024,1,2024-03-03,2024-10-03,113.63,141.32
AMD,Advanced Micro Devices Inc.,2024,2,2024-06-07,2024-08-23,142.32,147.81
AMD,Advanced Micro Devices Inc.,2024,3,2024-01-15,2024-07-28,272.06,328.53
AMD,Advanced Micro Devices Inc.,2024,4,2024-05-13,2024-12-27,220.86,226.39
AMD,Advanced Micro Devices Inc.,2024,5,2024-05-20,2024-12-17,289.36,396.22
AMZN,Amazon.com Inc.,2020,1,2020-05-21,2020-07-31,169.78,252.65
AMZN,Amazon.com Inc.,2020,2,2020-03-25,2020-09-12,244.28,350.76
AMZN,Amazon.com Inc.,2020,3,2020-06-17,2020-09-17,287.89,294.39
AMZN,Amazon.com Inc.,2020,4,2020-01-29,2020-12-06,281.04,346.14
AMZN,Amazon.com Inc.,2020,5,2020-04-09,2020-09-30,70.48,102.49
AMZN,Amazon.com Inc.,2021,1,2021-04-17,2021-08-03,257.21,283.92
AMZN,Amazon.com Inc.,2021,2,2021-03-10,2021-10-16,237.67,286.93
AMZN,Amazon.com Inc.,2021,3,2021-03-20,2021-07-17,26.67,37.33
AMZN,Amazon.com Inc.,2021,4,2021-04-11,2021-09-07,35.0,47.04
AMZN,Amazon.com Inc.,2021,5,2021-02-18,2021-09-18,187.28,261.53
AMZN,Amazon.com Inc.,2022,1,2022-02-21,2022-10-18,159.3,194.81
AMZN,Amazon.com Inc.,2022,2,2022-02-09,2022-08-13,33.26,37.48
AMZN,Amazon.com Inc.,2022,3,2022-01-17,2022-10-23,290.23,351.86
AMZN,Amazon.com Inc.,2022,4,2022-04-22,2022-12-30,282.9,298.69
AMZN,Amazon.com Inc.,2022,5,2022-02-25,2022-07-23,31.96,40.81
AMZN,Amazon.com Inc.,2023,1,2023-06-14,2023-11-12,293.89,306.93
AMZN,Amazon.com Inc.,2023,2,2023-04-16,2023-10-29,127.61,170.71
AMZN,Amazon.com Inc.,2023,3,2023-06-14,2023-12-16,292.79,391.13
AMZN,Amazon.com Inc.,2023,4,2023-01-27,2023-07-23,80.48,107.45
AMZN,Amazon.com Inc.,2023,5,2023-06-14,2023-08-04,217.66,283.0
AMZN,Amazon.com Inc.,2024,1,2024-02-17,2024-11-14,256.65,375.93
AMZN,Amazon.com Inc.,2024,2,2024-01-24,2024-07-01,182.5,248.28
AMZN,Amazon.com Inc.,2024,3,2024-05-13,2024-11-30,188.17,232.94
AMZN,Amazon.com Inc.,2024,4,2024-06-16,2024-09-02,243.59,312.91
AMZN,Amazon.com Inc.,2024,5,2024-01-08,2024-10-04,246.24,306.17
AVGO,Broadcom Inc.,2020,1,2020-05-07,2020-12-09,263.54,341.58
AVGO,Broadcom Inc.,2020,2,2020-03-14,2020-08-13,237.8,331.99
AVGO,Broadcom Inc.,2020,3,2020-04-26,2020-09-19,46.2,66.54
AVGO,Broadcom Inc.,2020,4,2020-03-04,2020-10-23,85.7,103.43
AVGO,Broadcom Inc.,2020,5,2020-03-23,2020-11-15,275.72,374.55
AVGO,Broadcom Inc.,2021,1,2021-01-05,2021-11-13,142.99,154.59
AVGO,Broadcom Inc.,2021,2,2021-05-03,2021-10-18,290.73,433.98
AVGO,Broadcom Inc.,2021,3,2021-02-01,2021-09-09,244.51,259.39
AVGO,Broadcom Inc.,2021,4,2021-06-06,2021-11-27,98.83,107.3
AVGO,Broadcom Inc.,2021,5,2021-06-25,2021-10-20,42.12,61.46
AVGO,Broadcom Inc.,2022,1,2022-06-11,2022-07-09,261.71,295.01
AVGO,Broadcom Inc.,2022,2,2022-04-29,2022-12-19,80.29,84.64
AVGO,Broadcom Inc.,2022,3,2022-02-25,2022-12-21,163.43,220.4
AVGO,Broadcom Inc.,2022,4,2022-02-03,2022-09-19,99.32,120.55
AVGO,Broadcom Inc.,2022,5,2022-03-02,2022-10-16,248.01,342.52
AVGO,Broadcom Inc.,2023,1,2023-02-26,2023-10-21,67.89,78.9
AVGO,Broadcom Inc.,2023,2,2023-03-18,2023-07-15,270.49,402.94
AVGO,Broadcom Inc.,2023,3,2023-04-24,2023-08-27,259.45,310.0
AVGO,Broadcom Inc.,2023,4,2023-02-06,2023-10-17,256.09,343.19
AVGO,Broadcom Inc.,2023,5,2023-05-28,2023-07-17,234.23,332.22
AVGO,Broadcom Inc.,2024,1,2024-05-21,2024-11-18,169.58,215.15
AVGO,Broadcom Inc.,2024,2,2024-01-16,2024-07-24,150.17,187.71
AVGO,Broadcom Inc.,2024,3,2024-05-14,2024-11-09,70.92,86.69
AVGO,Broadcom Inc.,2024,4,2024-05-04,2024-07-25,256.61,382.2
AVGO,Broadcom Inc.,2024,5,2024-06-03,2024-09-04,269.72,324.79
COST,Costco Wholesale Corp.,2020,1,2020-02-10,2020-11-15,252.84,258.45
COST,Costco Wholesale Corp.,2020,2,2020-03-07,2020-07-17,232.72,276.94
COST,Costco Wholesale Corp.,2020,3,2020-04-14,2020-07-15,31.02,44.98
COST,Costco Wholesale Corp.,2020,4,2020-04-16,2020-12-17,167.82,248.99
COST,Costco Wholesale Corp.,2020,5,2020-03-10,2020-08-11,57.65,64.43
COST,Costco Wholesale Corp.,2021,1,2021-01-01,2021-10-30,110.87,146.56
COST,Costco Wholesale Corp.,2021,2,2021-05-30,2021-10-23,80.26,94.36
COST,Costco Wholesale Corp.,2021,3,2021-03-03,2021-09-23,198.99,230.82
COST,Costco Wholesale Corp.,2021,4,2021-04-22,2021-10-13,84.13,112.68
COST,Costco Wholesale Corp.,2021,5,2021-01-26,2021-10-04,290.97,335.07
COST,Costco Wholesale Corp.,2022,1,2022-06-28,2022-07-26,60.47,63.32
COST,Costco Wholesale Corp.,2022,2,2022-04-13,2022-07-21,47.32,64.6
COST,Costco Wholesale Corp.,2022,3,2022-03-05,2022-10-29,40.62,45.14
COST,Costco Wholesale Corp.,2022,4,2022-05-26,2022-09-13,132.85,170.46
COST,Costco Wholesale Corp.,2022,5,2022-04-08,2022-10-26,267.32,368.59
COST,Costco Wholesale Corp.,2023,1,2023-04-04,2023-10-20,40.8,49.32
COST,Costco Wholesale Corp.,2023,2,2023-03-16,2023-08-26,219.22,291.12
COST,Costco Wholesale Corp.,2023,3,2023-04-30,2023-11-10,103.76,106.13
COST,Costco Wholesale Corp.,2023,4,2023-05-16,2023-12-03,100.55,141.44
COST,Costco Wholesale Corp.,2023,5,2023-05-26,2023-07-29,125.64,188.16
COST,Costco Wholesale Corp.,2024,1,2024-03-20,2024-09-01,169.06,180.57
COST,Costco Wholesale Corp.,2024,2,2024-06-04,2024-11-07,218.76,318.96
COST,Costco Wholesale Corp.,2024,3,2024-02-22,2024-10-27,44.09,51.75
COST,Costco Wholesale Corp.,2024,4,2024-01-29,2024-07-31,123.59,179.93
COST,Costco Wholesale Corp.,2024,5,2024-01-20,2024-07-20,271.91,281.88
CSCO,Cisco Systems Inc.,2020,1,2020-06-24,2020-10-04,98.09,119.32
CSCO,Cisco Systems Inc.,2020,2,2020-01-24,2020-10-17,49.02,68.28
CSCO,Cisco Systems Inc.,2020,3,2020-03-11,2020-12-18,24.33,30.19
CSCO,Cisco Systems Inc.,2020,4,2020-05-06,2020-11-28,40.81,41.69
CSCO,Cisco Systems Inc.,2020,5,2020-05-12,2020-12-23,206.46,221.22
CSCO,Cisco Systems Inc.,2021,1,2021-04-12,2021-07-25,143.88,154.44
CSCO,Cisco Systems Inc.,2021,2,2021-02-20,2021-10-22,215.03,236.28
CSCO,Cisco Systems Inc.,2021,3,2021-05-10,2021-08-11,189.69,283.42
CSCO,Cisco Systems Inc.,2021,4,2021-01-06,2021-11-20,234.7,265.75
CSCO,Cisco Systems Inc.,2021,5,2021-01-21,2021-12-31,289.51,300.46
CSCO,Cisco Systems Inc.,2022,1,2022-02-26,2022-09-17,103.79,151.51
CSCO,Cisco Systems Inc.,2022,2,2022-03-17,2022-07-02,270.73,396.27
CSCO,Cisco Systems Inc.,2022,3,2022-05-12,2022-11-20,121.28,174.51
CSCO,Cisco Systems Inc.,2022,4,2022-06-05,2022-08-23,136.3,169.47
CSCO,Cisco Systems Inc.,2022,5,2022-03-21,2022-12-23,38.44,51.9
CSCO,Cisco Systems Inc.,2023,1,2023-06-29,2023-12-27,39.12,52.35
CSCO,Cisco Systems Inc.,2023,2,2023-04-21,2023-12-30,257.03,345.27
CSCO,Cisco Systems Inc.,2023,3,2023-02-16,2023-12-06,269.29,402.76
CSCO,Cisco Systems Inc.,2023,4,2023-05-07,2023-07-31,94.93,139.5
CSCO,Cisco Systems Inc.,2023,5,2023-01-05,2023-10-30,249.79,366.41
CSCO,Cisco Systems Inc.,2024,1,2024-01-24,2024-10-17,254.0,321.18
CSCO,Cisco Systems Inc.,2024,2,2024-03-24,2024-08-30,113.66,158.99
CSCO,Cisco Systems Inc.,2024,3,2024-04-10,2024-12-27,258.63,269.34
CSCO,Cisco Systems Inc.,2024,4,2024-01-05,2024-10-14,84.07,110.14
CSCO,Cisco Systems Inc.,2024,5,2024-05-19,2024-12-25,131.74,160.34
GOOGL,Alphabet Inc.,2020,1,2020-05-14,2020-11-05,108.28,141.88
GOOGL,Alphabet Inc.,2020,2,2020-04-16,2020-12-14,114.6,143.34
GOOGL,Alphabet Inc.,2020,3,2020-03-01,2020-07-27,219.57,229.52
GOOGL,Alphabet Inc.,2020,4,2020-05-12,2020-12-30,60.24,88.43
GOOGL,Alphabet Inc.,2020,5,2020-02-05,2020-08-07,201.73,272.14
GOOGL,Alphabet Inc.,2021,1,2021-06-17,2021-08-16,295.23,372.01
GOOGL,Alphabet Inc.,2021,2,2021-01-02,2021-10-29,97.47,145.6
GOOGL,Alphabet Inc.,2021,3,2021-05-10,2021-12-11,82.94,101.59
GOOGL,Alphabet Inc.,2021,4,2021-05-01,2021-10-10,33.24,40.76
GOOGL,Alphabet Inc.,2021,5,2021-04-17,2021-12-26,294.48,363.05
GOOGL,Alphabet Inc.,2022,1,2022-03-24,2022-08-31,173.51,233.06
GOOGL,Alphabet Inc.,2022,2,2022-05-24,2022-10-30,235.22,306.38
GOOGL,Alphabet Inc.,2022,3,2022-03-29,2022-12-18,29.15,31.51
GOOGL,Alphabet Inc.,2022,4,2022-04-25,2022-08-21,209.61,260.98
GOOGL,Alphabet Inc.,2022,5,2022-06-13,2022-07-04,284.9,417.66
GOOGL,Alphabet Inc.,2023,1,2023-02-22,2023-07-13,176.35,262.56
GOOGL,Alphabet Inc.,2023,2,2023-01-03,2023-12-01,164.32,199.13
GOOGL,Alphabet Inc.,2023,3,2023-05-08,2023-07-17,72.76,86.41
GOOGL,Alphabet Inc.,2023,4,2023-03-26,2023-12-26,226.39,243.63
GOOGL,Alphabet Inc.,2023,5,2023-01-19,2023-09-30,282.7,302.26
GOOGL,Alphabet Inc.,2024,1,2024-01-22,2024-07-17,249.07,332.32
GOOGL,Alphabet Inc.,2024,2,2024-04-24,2024-10-20,220.1,268.3
GOOGL,Alphabet Inc.,2024,3,2024-01-25,2024-09-15,129.92,184.48
GOOGL,Alphabet Inc.,2024,4,2024-03-26,2024-10-03,37.67,49.38
GOOGL,Alphabet Inc.,2024,5,2024-01-31,2024-07-07,129.71,152.31
INTC,Intel Corp.,2020,1,2020-03-09,2020-10-25,48.32,55.24
INTC,Intel Corp.,2020,2,2020-03-09,2020-11-29,295.27,305.03
INTC,Intel Corp.,2020,3,2020-01-12,2020-12-22,52.85,59.54
INTC,Intel Corp.,2020,4,2020-01-27,2020-09-21,73.24,91.79
INTC,Intel Corp.,2020,5,2020-01-24,2020-11-04,250.23,305.05
INTC,Intel Corp.,2021,1,2021-02-15,2021-07-10,89.06,130.55
INTC,Intel Corp.,2021,2,2021-06-20,2021-12-14,134.13,188.95
INTC,Intel Corp.,2021,3,2021-06-02,2021-11-22,150.33,159.82
INTC,Intel Corp.,2021,4,2021-06-03,2021-11-25,174.21,260.14
INTC,Intel Corp.,2021,5,2021-01-16,2021-10-02,159.77,211.52
INTC,Intel Corp.,2022,1,2022-01-04,2022-11-01,102.33,143.77
INTC,Intel Corp.,2022,2,2022-03-10,2022-09-11,149.05,222.58
INTC,Intel Corp.,2022,3,2022-01-10,2022-08-29,38.82,53.61
INTC,Intel Corp.,2022,4,2022-03-10,2022-08-14,284.87,346.55
INTC,Intel Corp.,2022,5,2022-03-17,2022-08-08,20.33,27.7
INTC,Intel Corp.,2023,1,2023-01-14,2023-09-24,104.26,129.62
INTC,Intel Corp.,2023,2,2023-03-13,2023-11-05,47.6,66.78
INTC,Intel Corp.,2023,3,2023-03-13,2023-12-20,58.67,61.65
INTC,Intel Corp.,2023,4,2023-06-19,2023-09-08,69.87,103.58
INTC,Intel Corp.,2023,5,2023-01-11,2023-10-08,108.57,121.81
INTC,Intel Corp.,2024,1,2024-02-23,2024-07-21,49.47,73.92
INTC,Intel Corp.,2024,2,2024-04-08,2024-07-23,269.9,403.2
INTC,Intel Corp.,2024,3,2024-05-04,2024-12-26,271.65,370.05
INTC,Intel Corp.,2024,4,2024-01-23,2024-11-26,236.87,327.01
INTC,Intel Corp.,2024,5,2024-01-16,2024-12-26,239.45,249.41
LLY,Eli Lilly and Co.,2020,1,2020-06-30,2020-11-04,37.16,41.63
LLY,Eli Lilly and Co.,2020,2,2020-01-05,2020-10-23,196.61,210.18
LLY,Eli Lilly and Co.,2020,3,2020-04-17,2020-07-03,203.2,286.76
LLY,Eli Lilly and Co.,2020,4,2020-05-16,2020-09-08,38.44,42.83
LLY,Eli Lilly and Co.,2020,5,2020-03-26,2020-11-16,224.61,292.53
LLY,Eli Lilly and Co.,2021,1,2021-03-16,2021-07-27,47.29,60.45
LLY,Eli Lilly and Co.,2021,2,2021-02-21,2021-11-16,141.14,182.68
LLY,Eli Lilly and Co.,2021,3,2021-01-27,2021-07-11,161.45,237.96
LLY,Eli Lilly and Co.,2021,4,2021-01-04,2021-08-12,272.82,347.65
LLY,Eli Lilly and Co.,2021,5,2021-01-04,2021-12-30,87.15,107.43
LLY,Eli Lilly and Co.,2022,1,2022-02-14,2022-08-02,119.24,158.82
LLY,Eli Lilly and Co.,2022,2,2022-03-17,2022-09-25,47.42,65.57
LLY,Eli Lilly and Co.,2022,3,2022-05-24,2022-08-01,290.37,313.49
LLY,Eli Lilly and Co.,2022,4,2022-05-02,2022-12-04,23.3,27.44
LLY,Eli Lilly and Co.,2022,5,2022-04-02,2022-11-05,159.13,178.36
LLY,Eli Lilly and Co.,2023,1,2023-02-13,2023-09-14,230.44,261.79
LLY,Eli Lilly and Co.,2023,2,2023-04-26,2023-08-25,106.21,121.47
LLY,Eli Lilly and Co.,2023,3,2023-03-08,2023-09-04,173.11,231.98
LLY,Eli Lilly and Co.,2023,4,2023-05-26,2023-10-23,234.03,273.08
LLY,Eli Lilly and Co.,2023,5,2023-05-10,2023-09-24,242.84,279.93
LLY,Eli Lilly and Co.,2024,1,2024-02-13,2024-09-16,177.33,243.51
LLY,Eli Lilly and Co.,2024,2,2024-04-07,2024-11-03,222.03,286.53
LLY,Eli Lilly and Co.,2024,3,2024-05-17,2024-09-06,102.32,113.53
LLY,Eli Lilly and Co.,2024,4,2024-02-07,2024-12-23,57.07,79.17
LLY,Eli Lilly and Co.,2024,5,2024-02-04,2024-11-30,61.24,91.58
MA,Mastercard Inc.,2020,1,2020-04-08,2020-11-19,279.2,382.02
MA,Mastercard Inc.,2020,2,2020-03-27,2020-12-31,32.23,34.69
MA,Mastercard Inc.,2020,3,2020-06-18,2020-11-03,22.71,30.58
MA,Mastercard Inc.,2020,4,2020-04-09,2020-12-13,83.07,114.87
MA,Mastercard Inc.,2020,5,2020-04-23,2020-09-10,249.15,347.99
MA,Mastercard Inc.,2021,1,2021-06-05,2021-09-05,295.03,303.99
MA,Mastercard Inc.,2021,2,2021-04-29,2021-07-25,217.99,243.8
MA,Mastercard Inc.,2021,3,2021-01-25,2021-07-08,283.31,330.79
MA,Mastercard Inc.,2021,4,2021-03-27,2021-10-19,72.13,75.16
MA,Mastercard Inc.,2021,5,2021-02-04,2021-08-26,222.23,243.53
MA,Mastercard Inc.,2022,1,2022-05-30,2022-09-23,89.17,129.14
MA,Mastercard Inc.,2022,2,2022-01-20,2022-12-29,163.16,189.15
MA,Mastercard Inc.,2022,3,2022-01-09,2022-08-25,215.38,294.55
MA,Mastercard Inc.,2022,4,2022-01-29,2022-12-03,297.75,411.88
MA,Mastercard Inc.,2022,5,2022-03-09,2022-08-13,82.95,102.46
MA,Mastercard Inc.,2023,1,2023-06-28,2023-10-03,182.01,195.12
MA,Mastercard Inc.,2023,2,2023-01-12,2023-09-03,217.26,310.72
MA,Mastercard Inc.,2023,3,2023-05-12,2023-12-30,289.84,434.23
MA,Mastercard Inc.,2023,4,2023-04-15,2023-08-16,85.5,111.01
MA,Mastercard Inc.,2023,5,2023-01-31,2023-11-06,241.82,294.27
MA,Mastercard Inc.,2024,1,2024-01-26,2024-08-24,100.59,140.78
MA,Mastercard Inc.,2024,2,2024-02-12,2024-08-03,284.34,398.44
MA,Mastercard Inc.,2024,3,2024-06-20,2024-09-11,145.03,162.31
MA,Mastercard Inc.,2024,4,2024-05-15,2024-07-06,143.99,196.67
MA,Mastercard Inc.,2024,5,2024-05-19,2024-10-10,291.42,418.61
META,Meta Platforms Inc.,2020,1,2020-01-26,2020-12-04,110.19,142.34
META,Meta Platforms Inc.,2020,2,2020-06-05,2020-11-13,85.28,89.33
META,Meta Platforms Inc.,2020,3,2020-06-27,2020-10-15,162.59,218.68
META,Meta Platforms Inc.,2020,4,2020-03-10,2020-12-03,237.58,262.28
META,Meta Platforms Inc.,2020,5,2020-05-13,2020-08-30,215.31,303.12
META,Meta Platforms Inc.,2021,1,2021-06-27,2021-12-09,57.76,63.58
META,Meta Platforms Inc.,2021,2,2021-06-29,2021-11-28,59.13,87.76
META,Meta Platforms Inc.,2021,3,2021-03-19,2021-10-15,64.89,74.54
META,Meta Platforms Inc.,2021,4,2021-03-01,2021-12-04,74.93,83.31
META,Meta Platforms Inc.,2021,5,2021-06-02,2021-07-13,262.84,385.36
META,Meta Platforms Inc.,2022,1,2022-03-27,2022-12-07,244.43,287.54
META,Meta Platforms Inc.,2022,2,2022-01-26,2022-09-01,117.28,124.33
META,Meta Platforms Inc.,2022,3,2022-04-29,2022-10-20,46.46,59.79
META,Meta Platforms Inc.,2022,4,2022-01-13,2022-12-03,86.37,92.33
META,Meta Platforms Inc.,2022,5,2022-02-09,2022-08-30,105.92,130.95
META,Meta Platforms Inc.,2023,1,2023-06-07,2023-11-02,141.3,193.33
META,Meta Platforms Inc.,2023,2,2023-02-10,2023-11-23,73.88,85.97
META,Meta Platforms Inc.,2023,3,2023-06-22,2023-10-21,60.95,82.05
META,Meta Platforms Inc.,2023,4,2023-06-29,2023-08-20,168.24,190.37
META,Meta Platforms Inc.,2023,5,2023-01-31,2023-07-25,195.88,265.69
META,Meta Platforms Inc.,2024,1,2024-06-12,2024-08-29,193.71,283.09
META,Meta Platforms Inc.,2024,2,2024-01-20,2024-09-07,177.27,203.45
META,Meta Platforms Inc.,2024,3,2024-02-08,2024-12-06,294.92,302.07
META,Meta Platforms Inc.,2024,4,2024-01-24,2024-10-13,104.7,131.33
META,Meta Platforms Inc.,2024,5,2024-02-17,2024-10-28,161.33,198.32
MSFT,Microsoft Corp.,2020,1,2020-02-05,2020-09-26,49.34,67.53
MSFT,Microsoft Corp.,2020,2,2020-02-27,2020-11-23,46.0,67.45
MSFT,Microsoft Corp.,2020,3,2020-03-03,2020-08-22,110.18,133.44
MSFT,Microsoft Corp.,2020,4,2020-05-08,2020-07-21,161.44,223.42
MSFT,Microsoft Corp.,2020,5,2020-01-05,2020-08-19,178.09,188.93
MSFT,Microsoft Corp.,2021,1,2021-05-17,2021-08-04,272.53,342.38
MSFT,Microsoft Corp.,2021,2,2021-04-12,2021-07-08,219.85,311.65
MSFT,Microsoft Corp.,2021,3,2021-05-05,2021-09-26,276.06,392.93
MSFT,Microsoft Corp.,2021,4,2021-02-02,2021-12-04,21.67,30.36
MSFT,Microsoft Corp.,2021,5,2021-06-03,2021-12-03,116.15,151.07
MSFT,Microsoft Corp.,2022,1,2022-06-21,2022-10-16,120.43,167.37
MSFT,Microsoft Corp.,2022,2,2022-03-29,2022-08-19,299.18,360.08
MSFT,Microsoft Corp.,2022,3,2022-01-16,2022-10-15,160.13,227.08
MSFT,Microsoft Corp.,2022,4,2022-02-14,2022-11-21,123.18,180.14
MSFT,Microsoft Corp.,2022,5,2022-02-01,2022-09-06,249.54,293.13
MSFT,Microsoft Corp.,2023,1,2023-05-27,2023-12-28,87.95,108.51
MSFT,Microsoft Corp.,2023,2,2023-04-23,2023-11-22,116.33,171.64
MSFT,Microsoft Corp.,2023,3,2023-04-27,2023-11-06,273.53,315.11
MSFT,Microsoft Corp.,2023,4,2023-01-13,2023-08-16,25.58,34.2
MSFT,Microsoft Corp.,2023,5,2023-02-03,2023-10-31,31.97,47.93
MSFT,Microsoft Corp.,2024,1,2024-06-02,2024-07-09,161.15,234.7
MSFT,Microsoft Corp.,2024,2,2024-06-02,2024-09-12,182.43,272.01
MSFT,Microsoft Corp.,2024,3,2024-03-23,2024-10-07,212.64,223.29
MSFT,Microsoft Corp.,2024,4,2024-03-05,2024-09-11,298.72,355.97
MSFT,Microsoft Corp.,2024,5,2024-01-12,2024-12-03,159.11,174.88
NFLX,Netflix Inc.,2020,1,2020-06-29,2020-11-30,230.9,341.38
NFLX,Netflix Inc.,2020,2,2020-04-26,2020-08-26,259.33,279.51
NFLX,Netflix Inc.,2020,3,2020-05-21,2020-12-02,116.83,155.83
NFLX,Netflix Inc.,2020,4,2020-02-20,2020-07-12,167.08,236.93
NFLX,Netflix Inc.,2020,5,2020-05-15,2020-08-21,92.21,106.72
NFLX,Netflix Inc.,2021,1,2021-05-24,2021-09-05,206.41,211.95
